Дата заказа (ГГГГ-ММ-ДД),Шифр заказа (ID),Расстояние до клиента (в км),Количество позиций в чеке (в шт.),Балл пробок на дорогах (в баллах),Погода (в градусах Цельсия),Этаж доставки (в этажах),Время доставки (в минутах)
2026-08-10,ORD-202608418,0.9,1,3,18.6,4,14.2
2026-08-19,ORD-202608419,2.3,3,8,19.9,18,27.7
2026-09-01,ORD-202608420,1.2,3,6,8.2,21,21.5
2026-08-01,ORD-202608421,2.3,1,5,17.3,4,18.8
2026-08-05,ORD-202608422,4.4,2,2,27.3,4,26.2
2026-08-04,ORD-202608423,14.3,1,4,18.4,6,69.9
2026-08-16,ORD-202608424,9.5,1,4,21.6,20,51.8
2026-08-24,ORD-202608425,3.7,1,7,14.2,16,32.3
2026-08-16,ORD-202608426,8.6,11,5,23.5,1,52.2
2026-08-02,ORD-202608427,8.0,4,4,23.5,5,43.4
2026-08-28,ORD-202608428,17.6,12,9,18.4,7,122.6
2026-09-01,ORD-202608429,7.5,3,2,27.5,6,38.9
2026-08-27,ORD-202608430,8.6,2,4,10.5,2,43.5
2026-08-20,ORD-202608431,6.7,3,1,8.3,15,40.8
2026-08-24,ORD-202608432,3.2,3,6,23.4,10,26.0
2026-08-12,ORD-202608433,0.4,1,8,24.1,14,14.1
2026-09-04,ORD-202608434,5.3,4,3,10.4,15,33.2
2026-09-02,ORD-202608435,6.5,2,7,13.3,11,50.8
2026-09-02,ORD-202608436,2.3,4,3,8.4,5,17.5
2026-09-06,ORD-202608437,21.9,5,8,13.9,8,132.8
2026-08-12,ORD-202608438,12.8,1,6,23.5,2,70.5
2026-08-03,ORD-202608439,0.3,1,7,18.4,10,10.6
2026-08-01,ORD-202608440,1.1,6,1,15.0,2,17.1
2026-09-02,ORD-202608441,2.3,3,9,15.4,10,25.6
2026-09-09,ORD-202608442,10.3,1,6,8.0,3,56.2
2026-08-10,ORD-202608443,7.9,15,3,14.0,2,47.8
2026-08-29,ORD-202608444,6.9,1,7,20.9,2,41.0
2026-08-13,ORD-202608445,1.5,5,3,27.5,1,14.8
2026-08-12,ORD-202608446,0.8,13,7,24.9,11,24.9
2026-08-31,ORD-202608447,18.7,2,2,8.5,11,80.6
2026-08-02,ORD-202608448,1.9,1,6,26.0,6,17.3
2026-09-04,ORD-202608449,12.0,1,5,23.7,2,58.5
2026-08-23,ORD-202608450,0.8,2,2,23.6,1,11.8
2026-08-17,ORD-202608451,4.3,1,3,17.2,1,24.5
2026-08-26,ORD-202608452,20.8,5,1,16.0,2,87.9
2026-08-08,ORD-202608453,1.4,1,4,14.1,17,17.0
2026-08-29,ORD-202608454,6.3,3,3,9.3,3,33.2
2026-08-26,ORD-202608455,1.9,16,5,12.6,4,32.1
2026-08-10,ORD-202608456,22.6,7,3,12.9,1,100.6
2026-08-26,ORD-202608457,22.5,4,3,17.7,3,92.5
2026-09-03,ORD-202608458,1.2,2,6,22.9,7,17.4
2026-08-07,ORD-202608459,1.1,4,1,17.5,8,15.9
2026-08-04,ORD-202608460,1.4,3,8,9.2,3,16.6
2026-08-11,ORD-202608461,14.4,3,7,27.2,1,84.0
2026-08-29,ORD-202608462,5.8,1,6,26.9,5,35.1
2026-09-05,ORD-202608463,0.5,8,5,23.7,3,17.8
2026-08-25,ORD-202608464,4.4,3,8,27.8,3,36.2
2026-08-21,ORD-202608465,3.6,1,2,18.9,21,30.9
2026-09-05,ORD-202608466,4.4,2,1,27.3,8,23.0
2026-08-10,ORD-202608467,5.1,3,3,9.5,7,29.4
2026-09-06,ORD-202608468,12.3,7,7,15.3,5,73.4
2026-08-09,ORD-202608469,3.6,5,1,12.5,5,23.6
2026-08-24,ORD-202608470,4.5,6,5,11.9,7,28.7
2026-09-04,ORD-202608471,13.7,1,10,10.8,10,96.4
2026-09-04,ORD-202608472,1.1,3,7,20.4,10,17.9
2026-09-05,ORD-202608473,2.4,3,5,23.6,2,18.4
2026-08-18,ORD-202608474,2.5,1,1,19.6,6,16.2
2026-09-08,ORD-202608475,22.4,2,7,10.9,5,125.9
2026-09-01,ORD-202608476,0.4,6,5,24.2,16,16.6
2026-08-24,ORD-202608477,12.5,1,2,20.7,9,54.8
2026-08-23,ORD-202608478,5.8,4,2,15.8,7,31.0
2026-09-01,ORD-202608479,7.3,2,8,21.5,2,47.7
2026-09-06,ORD-202608480,0.8,1,6,13.2,8,11.8
2026-08-12,ORD-202608481,5.4,2,7,14.9,2,34.9
2026-08-13,ORD-202608482,2.1,13,7,26.3,4,30.3
2026-08-23,ORD-202608483,1.5,6,5,13.8,2,19.9
2026-08-25,ORD-202608484,6.5,11,4,17.4,10,48.8
2026-09-04,ORD-202608485,6.3,3,4,25.8,2,34.8
2026-08-30,ORD-202608486,1.0,1,3,22.2,5,12.4
2026-08-17,ORD-202608487,6.4,4,4,9.2,17,42.3
2026-08-20,ORD-202608488,12.3,3,6,10.9,2,64.8
2026-08-25,ORD-202608489,6.5,7,5,8.2,6,42.2
2026-08-22,ORD-202608490,13.7,1,8,20.6,5,83.2
2026-08-13,ORD-202608491,10.2,3,4,17.0,1,49.4
2026-08-19,ORD-202608492,0.8,1,5,10.7,13,14.6
2026-09-05,ORD-202608493,4.7,2,5,27.2,1,27.9
2026-08-12,ORD-202608494,8.6,5,5,18.6,6,48.6
2026-08-19,ORD-202608495,6.6,3,6,12.8,7,42.2
2026-08-12,ORD-202608496,5.2,2,3,18.0,9,28.9
2026-08-09,ORD-202608497,10.0,3,4,21.6,10,48.0
2026-08-07,ORD-202608498,5.5,3,2,9.5,3,27.0
2026-08-28,ORD-202608499,7.1,6,4,13.5,1,40.4
2026-08-14,ORD-202608500,1.8,8,4,24.1,11,26.3
